doc_id;sentence_id;title;filename;pages;sentence;sentence_len;label;possible_noise;
0;2;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Solo ha tenido lugar la sesión de la mañana.;44;Neutral;False;Neutral
0;3;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Durante la sesión han tenido lugar, a petición del Sr. Fiscal las declaraciones siguientes:. .;94;Neutral;False;Neutral
0;4;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Parcial de Teniente Coronel D. Luis Arana Lorite (Ayte.;55;Neutral;False;Neutral
0;5;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Parcial de Teniente Coronel D. Manuel Miler Hidalgo (Ayte.;58;Neutral;False;Neutral
0;6;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;1ª, 2ª, 3ª y 4ª del Teniente Coronel TEJERO.. .;47;Neutral;False;Neutral
0;7;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Careo Teniente Coronel TEJERO - SR.;35;Neutral;False;Neutral
0;8;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Descanso de 11,50 horas a 12,13 horas.. .;41;Neutral;False;Neutral
0;9;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Careo Teniente Coronel TEJERO - Capitán GOMEZ IGLESIAS. .;57;Neutral;False;Neutral
0;10;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Certificación del Presidente del Congreso Sr. LAVILLA.. .;57;Neutral;False;Neutral
0;11;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Certificación sobre la situación militar del TCOL.TEJERO.. .;60;Neutral;False;Neutral
0;12;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;1ª y 3ª del Coronel D. DIEGO IBAÑEZ INGLES. .;45;Neutral;False;Neutral
0;13;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;Certificación del entonces Gobernador Civil de Valencia D.José María Fernández del Rio Fernández. .;99;Neutral;False;Neutral
0;14;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;1ª y 3ª del Teniente Coronel MAS OLIVER..;41;Neutral;False;Neutral
0;15;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;La vista se interrumpió hasta las 10,00 horas del lunes día 22-02-82..;70;Neutral;False;Neutral
0;17;Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).;Vista oral 281 del Consejo Supremo de Justicia Militar 20 de febrero de 1982.txt;3;"Al finalizar la lectura de la segunda declaración del Coronel Ibañez el defensor del Gral. Armada hizo notar que se había omitido parte de la declaración; el presidente accedió a que se leyera lo omitido..";205;Neutral;False;Neutral
